id,x,y,w,h
0,856.0,421.0,140.0,195.0
1,1078.0,418.0,140.0,195.0
2,1332.0,395.0,140.0,195.0
3,1568.0,420.0,140.0,200.0
4,1804.0,419.0,145.0,200.0
5,1534.0,127.0,140.0,165.0
6,1310.0,131.0,150.0,160.0
7,1095.0,134.0,155.0,160.0
8,855.0,131.0,165.0,170.0
9,593.0,134.0,155.0,165.0
10,374.0,141.0,175.0,160.0
11,169.0,132.0,160.0,180.0
12,149.0,437.0,170.0,200.0
13,368.0,431.0,145.0,190.0
14,614.0,431.0,145.0,200.0
15,611.0,708.0,140.0,200.0
16,852.0,709.0,140.0,200.0
17,1090.0,687.0,140.0,200.0
18,1317.0,678.0,140.0,235.0
19,1538.0,685.0,155.0,200.0
20,1788.0,677.0,175.0,200.0
21,382.0,717.0,170.0,200.0
22,163.0,706.0,160.0,200.0
23,194.0,951.0,165.0,210.0
24,375.0,944.0,165.0,200.0
25,614.0,961.0,180.0,200.0
26,848.0,962.0,140.0,200.0
27,1086.0,951.0,140.0,200.0
28,1297.0,954.0,160.0,200.0
29,1541.0,939.0,165.0,200.0
30,1775.0,951.0,165.0,200.0
0,856.0,421.0,140.0,195.0
1,1078.0,418.0,140.0,195.0
2,1332.0,395.0,140.0,195.0
3,1568.0,420.0,140.0,200.0
4,1804.0,419.0,145.0,200.0
5,1534.0,127.0,140.0,165.0
6,1310.0,131.0,150.0,160.0
7,1095.0,134.0,155.0,160.0
8,855.0,131.0,165.0,170.0
9,593.0,134.0,155.0,165.0
10,374.0,141.0,175.0,160.0
11,169.0,132.0,160.0,180.0
12,149.0,437.0,170.0,200.0
13,368.0,431.0,145.0,190.0
14,614.0,431.0,145.0,200.0
15,611.0,708.0,140.0,200.0
16,852.0,709.0,140.0,200.0
17,1090.0,687.0,140.0,200.0
18,1317.0,678.0,140.0,235.0
19,1538.0,685.0,155.0,200.0
20,1788.0,677.0,175.0,200.0
21,382.0,717.0,170.0,200.0
22,163.0,706.0,160.0,200.0
23,194.0,951.0,165.0,210.0
24,375.0,944.0,165.0,200.0
25,614.0,961.0,180.0,200.0
26,848.0,962.0,140.0,200.0
27,1086.0,951.0,140.0,200.0
28,1297.0,954.0,160.0,200.0
29,1541.0,939.0,165.0,200.0
30,1775.0,951.0,165.0,200.0
0,856.0,421.0,140.0,195.0
1,1078.0,418.0,140.0,195.0
2,1332.0,395.0,140.0,195.0
3,1568.0,420.0,140.0,200.0
4,1804.0,419.0,145.0,200.0
5,1534.0,127.0,140.0,165.0
6,1310.0,131.0,150.0,160.0
7,1095.0,134.0,155.0,160.0
8,855.0,131.0,165.0,170.0
9,593.0,134.0,155.0,165.0
10,374.0,141.0,175.0,160.0
11,169.0,132.0,160.0,180.0
12,149.0,437.0,170.0,200.0
13,368.0,431.0,145.0,190.0
14,614.0,431.0,145.0,200.0
15,611.0,708.0,140.0,200.0
16,852.0,709.0,140.0,200.0
17,1090.0,687.0,140.0,200.0
18,1317.0,678.0,140.0,235.0
19,1538.0,685.0,155.0,200.0
20,1788.0,677.0,175.0,200.0
21,382.0,717.0,170.0,200.0
22,163.0,706.0,160.0,200.0
23,194.0,951.0,165.0,210.0
24,375.0,944.0,165.0,200.0
25,614.0,961.0,180.0,200.0
26,848.0,962.0,140.0,200.0
27,1086.0,951.0,140.0,200.0
28,1297.0,954.0,160.0,200.0
29,1541.0,939.0,165.0,200.0
30,1775.0,951.0,165.0,200.0
